surface_id,family,entry_condition,player_path,primary_maps_or_states,primary_files,baseline_evidence,preserve_requirement
boot_main_menu,boot,launch game,boot -> MainMenu -> tick without panic,"Loading,MainMenu",src/main.rs; src/ui/main_menu.rs; tests/headless.rs,tests/headless.rs::test_headless_boot_smoke_transitions_and_ticks,must remain bootable and panic-free
player_spawn_house_exit_sleep,player_day_start,new game start,spawn in PlayerHouse -> exit -> act -> sleep,"PlayerHouse,Farm,Playing",src/player/spawn.rs; src/player/interaction.rs; src/world/map_data.rs; src/ui/tutorial.rs,.memory/STATE.md; ACCEPTANCE.md phase 1,must spawn correctly and support house exit/sleep loop
tutorial_first_week,tutorial,days 1-3 progression,intro -> day 1 objective -> later-day objective progression,"Playing,Cutscene",src/ui/tutorial.rs; src/ui/tool_tutorial.rs; tests/headless.rs,tests/headless.rs::test_tutorial_later_day_objectives_initialize_after_day1_completion,must preserve objective and hint progression
farm_core_loop,farming,player on Farm with starter tools/seeds,till -> plant -> water -> grow -> harvest,"Farm,Playing",src/farming/*; src/player/tools.rs; tests/headless.rs,farming-related tests in tests/headless.rs,must preserve crop lifecycle and season rules
shipping_and_gold,economy,items in shipping bin or direct gold event,ship items -> day end -> gold increases,"Farm,Playing",src/economy/shipping.rs; src/economy/gold.rs; tests/headless.rs,shipping and gold tests in tests/headless.rs,must preserve sale flow and gold clamp behavior
town_shop_loop,economy_ui,player reaches shop interior,enter shop -> buy/sell -> return to town,"Town,GeneralStore,AnimalShop,Blacksmith,Shop",src/ui/shop_screen.rs; src/economy/shop.rs; src/player/interaction.rs; assets/maps/*.ron,ACCEPTANCE.md economy section; map transition tests,must preserve shop entry and transaction behavior
crafting_loop,crafting,crafting bench or kitchen available,open bench -> consume ingredients -> receive output,"Crafting,Playing",src/crafting/*; src/ui/crafting_screen.rs; tests/headless.rs,crafting tests in tests/headless.rs,"must preserve recipe, consume, refund, and machine behavior"
fishing_loop,fishing,player at fishable water with rod,cast -> bite -> minigame -> resolve -> inventory,"Playing,Fishing",src/fishing/*; src/player/item_use.rs; tests/headless.rs,fishing skill and legendary tests; ACCEPTANCE.md fishing section,"must preserve fish selection, minigame, resolve, and skill progression"
mining_loop,mining,player enters mine,enter -> break rocks -> fight -> ladder -> descend/exit,"MineEntrance,Mine,Playing",src/mining/*; src/player/interaction.rs; tests/headless.rs,mining tests in tests/headless.rs; ACCEPTANCE.md mining section,"must preserve generation, combat, ladder, and exit behavior"
social_loop,npcs_social,player near NPC or gifting item,talk -> gain friendship -> gift -> quest/romance progression,"Town and interiors,Dialogue,RelationshipsView",src/npcs/*; src/ui/dialogue_box.rs; src/ui/relationships_screen.rs; tests/headless.rs,"friendship, bouquet, proposal, wedding, quest tests","must preserve NPC identity, schedules, friendship, quests, and romance"
save_load_roundtrip,save,manual save/load or load on main menu,save -> quit/load -> restore map/position/resources,"Paused,MainMenu,Playing",src/save/mod.rs; tests/headless.rs,save roundtrip tests in tests/headless.rs,"must preserve current_map, position, and serialized resource state"
world_graph_travel,world_graph,player reaches edge or door trigger,travel across outdoor and indoor map graph,All 18 shipped maps,src/world/map_data.rs; src/player/interaction.rs; assets/maps/*.ron; tests/headless.rs,map transition tests and reachable_surface_manifest.csv,"must preserve map identities, transitions, and spawn positions"
ui_screen_family,ui,screen-specific state transitions,open HUD/inventory/journal/map/calendar/stats/relationships/settings/pause and return safely,"HUD,Inventory,Journal,MapView,RelationshipsView,Paused,MainMenu,Dialogue,Cutscene,Shop,Crafting",src/ui/*; src/input/mod.rs,UI module inventory + acceptance docs,no shipped screen family may disappear or degrade to placeholder-only
sailing_coral_island,world_travel,boat mode on Beach south edge,Beach <-> CoralIsland travel,"Beach,CoralIsland,Playing",src/world/map_data.rs; src/player/interaction.rs; docs/sailing_spec.md; tests/headless.rs,.memory/STATE.md and coral island map presence,"if present in baseline, must remain reachable and non-broken"
snow_mountain_extension,world_extension,MineEntrance north travel,MineEntrance <-> SnowMountain plus mountain NPC/fishing/objects,"MineEntrance,SnowMountain,Playing",assets/maps/snow_mountain.ron; src/world/map_data.rs; tests/headless.rs; src/data/npcs.rs; src/data/fish.rs,snow mountain tests in tests/headless.rs,"must preserve map reachability, Bjorn schedule/dialogue, and mountain fishing support"
